Date,Open,High,Low,Close,Adj Close,Volume
2016-06-10,222000.000000,234000.000000,220000.000000,228500.000000,228500.000000,75643
2016-06-13,232500.000000,232500.000000,224000.000000,226000.000000,226000.000000,40516
2016-06-14,224000.000000,226500.000000,222000.000000,223500.000000,223500.000000,32226
2016-06-15,220500.000000,222500.000000,216500.000000,219500.000000,219500.000000,46930
2016-06-16,218500.000000,220000.000000,215000.000000,217000.000000,217000.000000,30108
2016-06-17,218000.000000,222500.000000,216000.000000,221000.000000,221000.000000,23996
2016-06-20,225000.000000,225500.000000,219000.000000,222500.000000,222500.000000,18345
2016-06-21,219000.000000,221000.000000,217000.000000,218000.000000,218000.000000,22474
2016-06-22,217000.000000,218000.000000,214000.000000,218000.000000,218000.000000,20374
2016-06-23,215500.000000,218000.000000,214500.000000,217500.000000,217500.000000,15190
2016-06-24,215000.000000,216500.000000,205000.000000,210000.000000,210000.000000,44498
2016-06-27,204000.000000,213500.000000,204000.000000,213000.000000,213000.000000,26288
2016-06-28,210000.000000,214000.000000,206500.000000,211000.000000,211000.000000,21331
2016-06-29,210000.000000,214500.000000,209000.000000,211500.000000,211500.000000,23954
2016-06-30,212500.000000,217500.000000,211500.000000,217000.000000,217000.000000,28052
2016-07-01,215000.000000,220000.000000,215000.000000,218000.000000,218000.000000,22075
2016-07-04,216000.000000,216000.000000,214000.000000,215000.000000,215000.000000,14047
2016-07-05,214000.000000,217500.000000,211500.000000,216500.000000,216500.000000,19102
2016-07-06,218000.000000,218000.000000,207500.000000,209000.000000,209000.000000,53776
2016-07-07,208500.000000,215500.000000,208500.000000,213500.000000,213500.000000,19896
2016-07-08,211500.000000,219500.000000,211500.000000,219000.000000,219000.000000,35341
2016-07-11,221000.000000,229500.000000,220000.000000,228500.000000,228500.000000,39983
2016-07-12,225500.000000,230500.000000,221500.000000,223500.000000,223500.000000,35573
2016-07-13,224000.000000,229500.000000,222500.000000,224000.000000,224000.000000,24001
2016-07-14,228000.000000,228000.000000,219500.000000,224000.000000,224000.000000,24681
2016-07-15,224000.000000,228500.000000,221500.000000,222000.000000,222000.000000,29558
2016-07-18,220000.000000,224000.000000,219000.000000,221000.000000,221000.000000,21229
2016-07-19,221000.000000,222500.000000,217500.000000,220500.000000,220500.000000,19345
2016-07-20,218500.000000,218500.000000,214000.000000,218000.000000,218000.000000,28963
2016-07-21,218000.000000,219500.000000,214000.000000,219000.000000,219000.000000,24077
2016-07-22,219500.000000,219500.000000,215000.000000,215000.000000,215000.000000,21959
2016-07-25,215500.000000,218500.000000,213000.000000,215500.000000,215500.000000,17711
2016-07-26,215500.000000,217500.000000,214500.000000,216500.000000,216500.000000,17124
